Product Model,HikRegion,Hik Territory,Branch,Cy Sell Thru,CY Qty,Note,Top/Bottom,Rank
DS-KIS602,North East,"New England, N.NY",AL - ALBANY,0,0,915 in stock ADI,Bottom,6
DS-KIS602,North East,NJ,TV - TOMS RIVER,0,0,915 in stock ADI,Bottom,5
DS-KIS602,North East,Long Island,LI - LNG ISLAND,0,0,915 in stock ADI,Bottom,4
DS-KIS602,South East,FL,SJ - SAN JUAN,0,0,915 in stock ADI,Bottom,3
DS-KIS602,South East,"VA, NC, SC",VB - VIR BEACH,0,0,915 in stock ADI,Bottom,2
DS-KIS602,North East,"New England, N.NY",RC - ROCHESTER,-390,-1,915 in stock ADI,Bottom,1
DS-3E0518P-E,South East,FL,MS - MI SOUTH,21492,108,540 in stock ADI,Top,1
DS-3E0518P-E,Mid Atlantic,Detroit & Ohio Valley,ND - N. DETROIT,16716,84,540 in stock ADI,Top,2
DS-3E0518P-E,North East,Long Island,BK - BROOKLYN,16119,81,540 in stock ADI,Top,3
DS-3E0518P-E,Mid Atlantic,Detroit & Ohio Valley,LS - LOUISVLLE2,14527,73,540 in stock ADI,Top,4
DS-3E0518P-E,South East,GA,FI - FULTON IND,13930,70,540 in stock ADI,Top,5
DS-3E0518P-E,North East,"New England, N.NY",BU - BUFFALO,9353,47,540 in stock ADI,Top,6
DS-3E0518P-E,North East,"NY Metro, CT",HF - HARTFORD,9353,47,540 in stock ADI,Top,7
DS-3E0518P-E,West,"NW, CO, WY",BE - BOISE,8159,41,540 in stock ADI,Top,8
DS-3E0518P-E,North East,NJ,HK - HACKENSACK,7761,39,540 in stock ADI,Top,9
DS-3E0518P-E,Mid Atlantic,"PA, MD, DE, WV, DC",PB - PITTSBURGH,7363,37,540 in stock ADI,Top,10
DS-3E0518P-E,North East,Long Island,IS - ISLIP,199,1,540 in stock ADI,Bottom,10
DS-3E0518P-E,South East,FL,LT - BOYNTN BCH,199,1,540 in stock ADI,Bottom,9
DS-3E0518P-E,South East,FL,MB - MELBOURNE,199,1,540 in stock ADI,Bottom,8
DS-3E0518P-E,Central,"NTX, NLA, OK, AR",TS - TULSA,0,0,540 in stock ADI,Bottom,7
DS-3E0518P-E,South East(Will close end of May 2023),"VA, NC, SC(Closed end of May 2023)",CE - CHARLESTON,0,0,540 in stock ADI,Bottom,6
DS-3E0518P-E,South East,"VA, NC, SC",CT - N.CHARLS,0,0,540 in stock ADI,Bottom,5
DS-3E0518P-E,West,Bay Area & Sacramento,FC - SO SAN FRN,0,0,540 in stock ADI,Bottom,4
DS-3E0518P-E,South East(Will close end of May 2023),"VA, NC, SC(Closed end of May 2023)",GE - GREENVILLE,0,0,540 in stock ADI,Bottom,3
DS-3E0518P-E,North East,Long Island,LI - LNG ISLAND,0,0,540 in stock ADI,Bottom,2
DS-3E0518P-E,South East,FL,SJ - SAN JUAN,0,0,540 in stock ADI,Bottom,1
Ds-2CD3348G2-LISU 2.8mm,Central,"NTX, NLA, OK, AR",OK - OKLAHOMA C,22950,153,1542 in stock ADI,Top,1
Ds-2CD3348G2-LISU 2.8mm,South East,GA,FI - FULTON IND,20100,134,1542 in stock ADI,Top,2
Ds-2CD3348G2-LISU 2.8mm,South East,FL,MS - MI SOUTH,19200,128,1542 in stock ADI,Top,3
Ds-2CD3348G2-LISU 2.8mm,West,"NV, UT",LV - LAS VEGAS,8250,55,1542 in stock ADI,Top,4
Ds-2CD3348G2-LISU 2.8mm,South East,FL,OL - ORLANDO,8250,55,1542 in stock ADI,Top,5
Ds-2CD3348G2-LISU 2.8mm,West,Bay Area & Sacramento,SC - SANTA CLAR,8100,54,1542 in stock ADI,Top,6
Ds-2CD3348G2-LISU 2.8mm,Central,"KS, MO, S.IL",SO - ST LOUIS,7800,52,1542 in stock ADI,Top,7
Ds-2CD3348G2-LISU 2.8mm,North East,"New England, N.NY",PD - PROVIDENCE,7350,49,1542 in stock ADI,Top,8
Ds-2CD3348G2-LISU 2.8mm,North East,Long Island,IS - ISLIP,6600,44,1542 in stock ADI,Top,9
Ds-2CD3348G2-LISU 2.8mm,Mid Atlantic,Detroit & Ohio Valley,ND - N. DETROIT,6300,42,1542 in stock ADI,Top,10
Ds-2CD3348G2-LISU 2.8mm,West,LA & SD,LB - LONG BEACH,0,0,1542 in stock ADI,Bottom,10
Ds-2CD3348G2-LISU 2.8mm,North East,Long Island,LI - LNG ISLAND,0,0,1542 in stock ADI,Bottom,9
Ds-2CD3348G2-LISU 2.8mm,South East(Will close end of May 2023),"VA, NC, SC(Closed end of May 2023)",NF - NORFOLK,0,0,1542 in stock ADI,Bottom,8
Ds-2CD3348G2-LISU 2.8mm,Central,Minneapolis,OH - OMAHA,0,0,1542 in stock ADI,Bottom,7
Ds-2CD3348G2-LISU 2.8mm,South East,"VA, NC, SC",RM - RICHMOND,0,0,1542 in stock ADI,Bottom,6
Ds-2CD3348G2-LISU 2.8mm,West,"NV, UT",RN - RENO,0,0,1542 in stock ADI,Bottom,5
Ds-2CD3348G2-LISU 2.8mm,West,LA & SD,SD - SAN DIEGO,0,0,1542 in stock ADI,Bottom,4
Ds-2CD3348G2-LISU 2.8mm,South East,FL,SJ - SAN JUAN,0,0,1542 in stock ADI,Bottom,3
Ds-2CD3348G2-LISU 2.8mm,West,"NW, CO, WY",SK - SPOKANE,0,0,1542 in stock ADI,Bottom,2
Ds-2CD3348G2-LISU 2.8mm,North East,NJ,SP - SO PLAINFD,0,0,1542 in stock ADI,Bottom,1
DS-2SE4C425MWG-E,Central,STX (Houston included)/SLA,HU - HOUSTON,24500,49,539 in stock ADI,Top,1
DS-2SE4C425MWG-E,South East,GA,FI - FULTON IND,22000,44,539 in stock ADI,Top,2
DS-2SE4C425MWG-E,Central,Minneapolis,MN - MINEAPOLIS,18000,36,539 in stock ADI,Top,3
DS-2SE4C425MWG-E,South East,FL,TP - TAMPA,14500,29,539 in stock ADI,Top,4
DS-2SE4C425MWG-E,West,Bay Area & Sacramento,FN - FRESNO,14000,28,539 in stock ADI,Top,5
DS-2SE4C425MWG-E,South East,"TN, AL, MS",NV - NASHVILLE,14000,28,539 in stock ADI,Top,6
DS-2SE4C425MWG-E,North East,Long Island,SY - PLAINVIEW,13000,26,539 in stock ADI,Top,7
DS-2SE4C425MWG-E,West,"NW, CO, WY",DN - DENVER CC,12500,25,539 in stock ADI,Top,8
DS-2SE4C425MWG-E,South East,FL,MS - MI SOUTH,12500,25,539 in stock ADI,Top,9
DS-2SE4C425MWG-E,West,"NV, UT",SL - SALT LAKE,11500,23,539 in stock ADI,Top,10
DS-2SE4C425MWG-E,South East,"TN, AL, MS",KX - KNOXVILLE,0,0,539 in stock ADI,Bottom,10
DS-2SE4C425MWG-E,West,Bay Area & Sacramento,LD - SAN LEANDR,0,0,539 in stock ADI,Bottom,9
DS-2SE4C425MWG-E,North East,Long Island,LI - LNG ISLAND,0,0,539 in stock ADI,Bottom,8
DS-2SE4C425MWG-E,South East(Will close end of May 2023),"VA, NC, SC(Closed end of May 2023)",NF - NORFOLK,0,0,539 in stock ADI,Bottom,7
DS-2SE4C425MWG-E,Mid Atlantic,"PA, MD, DE, WV, DC",PL - PLYMOUTH,0,0,539 in stock ADI,Bottom,6
DS-2SE4C425MWG-E,South East,"VA, NC, SC",RM - RICHMOND,0,0,539 in stock ADI,Bottom,5
DS-2SE4C425MWG-E,West,LA & SD,SD - SAN DIEGO,0,0,539 in stock ADI,Bottom,4
DS-2SE4C425MWG-E,South East,FL,SJ - SAN JUAN,0,0,539 in stock ADI,Bottom,3
DS-2SE4C425MWG-E,West,"AZ, NM, EL PASO",TU - TUCSON,0,0,539 in stock ADI,Bottom,2
DS-2SE4C425MWG-E,South East,"VA, NC, SC",VB - VIR BEACH,0,0,539 in stock ADI,Bottom,1
DS-2DE2A404iW-DE3,North East,Long Island,SY - PLAINVIEW,34905,179,1634 in stock ADI,Top,1
DS-2DE2A404iW-DE3,West,LA & SD,OR - ORANGE,31395,161,1634 in stock ADI,Top,2
DS-2DE2A404iW-DE3,Mid Atlantic,Detroit & Ohio Valley,SF - SOUTHFIELD,30420,156,1634 in stock ADI,Top,3
DS-2DE2A404iW-DE3,Central,Minneapolis,MN - MINEAPOLIS,28665,147,1634 in stock ADI,Top,4
DS-2DE2A404iW-DE3,Mid Atlantic,"Chicago, WI, IN",EG - CHICAGO CC,22230,114,1634 in stock ADI,Top,5
DS-2DE2A404iW-DE3,West,Bay Area & Sacramento,SC - SANTA CLAR,18330,94,1634 in stock ADI,Top,6
DS-2DE2A404iW-DE3,South East,FL,TP - TAMPA,18330,94,1634 in stock ADI,Top,7
DS-2DE2A404iW-DE3,South East,FL,OL - ORLANDO,18135,93,1634 in stock ADI,Top,8
DS-2DE2A404iW-DE3,South East,GA,FI - FULTON IND,17940,92,1634 in stock ADI,Top,9
DS-2DE2A404iW-DE3,South East,FL,FM - FT MYERS,17940,92,1634 in stock ADI,Top,10
DS-2DE2A404iW-DE3,Central,"KS, MO, S.IL",SO - ST LOUIS,585,3,1634 in stock ADI,Bottom,10
DS-2DE2A404iW-DE3,West,Bay Area & Sacramento,FC - SO SAN FRN,390,2,1634 in stock ADI,Bottom,9
DS-2DE2A404iW-DE3,South East,"VA, NC, SC(Closed end of May 2023)",GE - GREENVILLE,390,2,1634 in stock ADI,Bottom,8
DS-2DE2A404iW-DE3,West,Bay Area & Sacramento,LD - SAN LEANDR,390,2,1634 in stock ADI,Bottom,7
DS-2DE2A404iW-DE3,South East,"VA, NC, SC",RM - RICHMOND,390,2,1634 in stock ADI,Bottom,6
DS-2DE2A404iW-DE3,West,"AZ, NM, EL PASO",TU - TUCSON,195,1,1634 in stock ADI,Bottom,5
DS-2DE2A404iW-DE3,South East,"VA, NC, SC(Closed end of May 2023)",CE - CHARLESTON,0,0,1634 in stock ADI,Bottom,4
DS-2DE2A404iW-DE3,South East,"VA, NC, SC",CT - N.CHARLS,0,0,1634 in stock ADI,Bottom,3
DS-2DE2A404iW-DE3,North East,Long Island,LI - LNG ISLAND,0,0,1634 in stock ADI,Bottom,2
DS-2DE2A404iW-DE3,South East,FL,SJ - SAN JUAN,0,0,1634 in stock ADI,Bottom,1
DS-2CE70KF0T-MFS 2.8mm,Central,STX (Houston included)/SLA,NO - N ORLEANS,10336,272,923 in stock ADI,Top,1
DS-2CE70KF0T-MFS 2.8mm,North East,Long Island,OZ - OZONE PARK,9728,256,923 in stock ADI,Top,2
DS-2CE70KF0T-MFS 2.8mm,South East,FL,MB - MELBOURNE,8664,228,923 in stock ADI,Top,3
DS-2CE70KF0T-MFS 2.8mm,South East,FL,TP - TAMPA,7638,201,923 in stock ADI,Top,4
DS-2CE70KF0T-MFS 2.8mm,South East,"VA, NC, SC",RD - RALEIGH,7448,196,923 in stock ADI,Top,5
DS-2CE70KF0T-MFS 2.8mm,Central,"NTX, NLA, OK, AR",OK - OKLAHOMA C,6308,166,923 in stock ADI,Top,6
DS-2CE70KF0T-MFS 2.8mm,South East,FL,MS - MI SOUTH,6232,164,923 in stock ADI,Top,7
DS-2CE70KF0T-MFS 2.8mm,West,LA & SD,NH - N HOLYWOOD,5928,156,923 in stock ADI,Top,8
DS-2CE70KF0T-MFS 2.8mm,South East,FL,FM - FT MYERS,4484,118,923 in stock ADI,Top,9
DS-2CE70KF0T-MFS 2.8mm,Central,STX (Houston included)/SLA,HU - HOUSTON,3686,97,923 in stock ADI,Top,10
DS-2CE70KF0T-MFS 2.8mm,South East,"VA, NC, SC",CT - N.CHARLS,0,0,923 in stock ADI,Bottom,10
DS-2CE70KF0T-MFS 2.8mm,Central,"NTX, NLA, OK, AR",FW - FORT WORTH,0,0,923 in stock ADI,Bottom,9
DS-2CE70KF0T-MFS 2.8mm,South East(Will close end of May 2023),"VA, NC, SC(Closed end of May 2023)",GE - GREENVILLE,0,0,923 in stock ADI,Bottom,8
DS-2CE70KF0T-MFS 2.8mm,Mid Atlantic,"Chicago, WI, IN",ID - INDIANPOLS,0,0,923 in stock ADI,Bottom,7
DS-2CE70KF0T-MFS 2.8mm,North East,Long Island,LI - LNG ISLAND,0,0,923 in stock ADI,Bottom,6
DS-2CE70KF0T-MFS 2.8mm,South East(Will close end of May 2023),"VA, NC, SC(Closed end of May 2023)",NF - NORFOLK,0,0,923 in stock ADI,Bottom,5
DS-2CE70KF0T-MFS 2.8mm,West,"NW, CO, WY",NS - N SEATTLE,0,0,923 in stock ADI,Bottom,4
DS-2CE70KF0T-MFS 2.8mm,Mid Atlantic,"PA, MD, DE, WV, DC",PL - PLYMOUTH,0,0,923 in stock ADI,Bottom,3
DS-2CE70KF0T-MFS 2.8mm,South East,FL,SJ - SAN JUAN,0,0,923 in stock ADI,Bottom,2
DS-2CE70KF0T-MFS 2.8mm,West,"AZ, NM, EL PASO",TU - TUCSON,0,0,923 in stock ADI,Bottom,1
DS-2CD2387G2P-LSU/SL 4mm,South East,FL,MS - MI SOUTH,47520,198,4373 in stock ADI,Top,1
DS-2CD2387G2P-LSU/SL 4mm,South East,FL,FM - FT MYERS,36720,153,4373 in stock ADI,Top,2
DS-2CD2387G2P-LSU/SL 4mm,South East,GA,FI - FULTON IND,35040,146,4373 in stock ADI,Top,3
DS-2CD2387G2P-LSU/SL 4mm,North East,Long Island,BK - BROOKLYN,34320,143,4373 in stock ADI,Top,4
DS-2CD2387G2P-LSU/SL 4mm,West,"AZ, NM, EL PASO",PX - PHOENIX,34320,143,4373 in stock ADI,Top,5
DS-2CD2387G2P-LSU/SL 4mm,West,Bay Area & Sacramento,SC - SANTA CLAR,33840,141,4373 in stock ADI,Top,6
DS-2CD2387G2P-LSU/SL 4mm,North East,Long Island,SY - PLAINVIEW,28080,117,4373 in stock ADI,Top,7
DS-2CD2387G2P-LSU/SL 4mm,North East,"New England, N.NY",AL - ALBANY,25680,107,4373 in stock ADI,Top,8
DS-2CD2387G2P-LSU/SL 4mm,South East,FL,TP - TAMPA,25200,105,4373 in stock ADI,Top,9
DS-2CD2387G2P-LSU/SL 4mm,South East,"VA, NC, SC",RD - RALEIGH,22800,95,4373 in stock ADI,Top,10
DS-2CD2387G2P-LSU/SL 4mm,South East,"TN, AL, MS",JK - JACKSON,960,4,4373 in stock ADI,Bottom,10
DS-2CD2387G2P-LSU/SL 4mm,West,"AZ, NM, EL PASO",TU - TUCSON,960,4,4373 in stock ADI,Bottom,9
DS-2CD2387G2P-LSU/SL 4mm,Mid Atlantic,Detroit & Ohio Valley,CS - COLUMBUS,720,3,4373 in stock ADI,Bottom,8
DS-2CD2387G2P-LSU/SL 4mm,South East,"VA, NC, SC(Closed end of May 2023)",GE - GREENVILLE,720,3,4373 in stock ADI,Bottom,7
DS-2CD2387G2P-LSU/SL 4mm,South East,"TN, AL, MS",KX - KNOXVILLE,720,3,4373 in stock ADI,Bottom,6
DS-2CD2387G2P-LSU/SL 4mm,Mid Atlantic,"PA, MD, DE, WV, DC",PB - PITTSBURGH,720,3,4373 in stock ADI,Bottom,5
DS-2CD2387G2P-LSU/SL 4mm,South East(Will close end of May 2023),"VA, NC, SC(Closed end of May 2023)",CE - CHARLESTON,0,0,4373 in stock ADI,Bottom,4
DS-2CD2387G2P-LSU/SL 4mm,North East,Long Island,LI - LNG ISLAND,0,0,4373 in stock ADI,Bottom,3
DS-2CD2387G2P-LSU/SL 4mm,South East,FL,SJ - SAN JUAN,0,0,4373 in stock ADI,Bottom,2
DS-2CD2387G2P-LSU/SL 4mm,West,LA & SD,OR - ORANGE,-2400,-10,4373 in stock ADI,Bottom,1
EKI-K82T46C,South East,FL,MS - MI SOUTH,131040,182,2956 in stock ADI,Top,1
EKI-K82T46C,South East,GA,FI - FULTON IND,114480,159,2956 in stock ADI,Top,2
EKI-K82T46C,North East,Long Island,SY - PLAINVIEW,98640,137,2956 in stock ADI,Top,3
EKI-K82T46C,Mid Atlantic,Detroit & Ohio Valley,ND - N. DETROIT,94320,131,2956 in stock ADI,Top,4
EKI-K82T46C,South East,FL,LT - BOYNTN BCH,73440,102,2956 in stock ADI,Top,5
EKI-K82T46C,Central,STX (Houston included)/SLA,HU - HOUSTON,70560,98,2956 in stock ADI,Top,6
EKI-K82T46C,Mid Atlantic,Detroit & Ohio Valley,SF - SOUTHFIELD,65520,91,2956 in stock ADI,Top,7
EKI-K82T46C,South East,FL,TP - TAMPA,61920,86,2956 in stock ADI,Top,8
EKI-K82T46C,South East,"TN, AL, MS",MC - MEMPHIS CC,57600,80,2956 in stock ADI,Top,9
EKI-K82T46C,West,"AZ, NM, EL PASO",AB - ALBUQUERQU,54720,76,2956 in stock ADI,Top,10
EKI-K82T46C,Mid Atlantic,"PA, MD, DE, WV, DC",HA - HARRISBURG,4320,6,2956 in stock ADI,Bottom,10
EKI-K82T46C,North East,"New England, N.NY",RC - ROCHESTER,3600,5,2956 in stock ADI,Bottom,9
EKI-K82T46C,West,"AZ, NM, EL PASO",TU - TUCSON,3600,5,2956 in stock ADI,Bottom,8
EKI-K82T46C,South East,"VA, NC, SC(Closed end of May 2023)",CE - CHARLESTON,2880,4,2956 in stock ADI,Bottom,7
EKI-K82T46C,West,Bay Area & Sacramento,HI - HAWAII,2880,4,2956 in stock ADI,Bottom,6
EKI-K82T46C,South East,"VA, NC, SC",RM - RICHMOND,2880,4,2956 in stock ADI,Bottom,5
EKI-K82T46C,Mid Atlantic,Detroit & Ohio Valley,GD - GRAND RAPD,2160,3,2956 in stock ADI,Bottom,4
EKI-K82T46C,South East,"VA, NC, SC(Closed end of May 2023)",GE - GREENVILLE,0,0,2956 in stock ADI,Bottom,3
EKI-K82T46C,North East,Long Island,LI - LNG ISLAND,0,0,2956 in stock ADI,Bottom,2
EKI-K82T46C,South East,FL,SJ - SAN JUAN,0,0,2956 in stock ADI,Bottom,1
