DC,Center,Type,Address,Suite,City,State,Zip,Latitude,Longitude
DV,Doraville,STD,3135 Presidential Drive,,Doraville,GA,30340,33.886227,-84.26059
EF,Elmsford,STD,"125 Clearbrook Road, Ste 130",,Elmsford,NY,10523,41.0743425,-73.81482530000001
EG,Elk Grove,STD,509 Busse Road,,Elk Grove Village,IL,60007,42.019019,-87.95895
EM,Edmonton,STD,5215 86th Street,,Edmonton,AB,T6E 6T1,53.48937549999999,-113.4537794
FC,San Francisco,STD,441 Victory Avenue,,So. San Francisco,CA,94080,37.647158,-122.4171768
FF,Fairfield,STD,14 Madison Road,Unit A,Fairfield,NJ,7004,40.8724844,-74.30952959999999
FI,Fulton Industrial,STD,7685 The Bluffs- SuiteA,,Austell,GA,30168,33.7652847,-84.5597263
FM,Ft Myers,STD,"7800 Drew Circle, Units 6,7, 8 & 9",,Ft. Myers,FL,33967,26.4885245,-81.825103
FN,Fresno,STD,"230 West Fallbrook, Suite 103",,Fresno,CA,93711,36.8498008,-119.7957214
FR,Ft Lauderdale,STD,10420 W State Road 84,,Ft. Lauderdale,FL,33324,26.10291,-80.2886631
FW,Fort Worth,STD,5036-5104 Saunders Road,,Fort Worth,TX,76119,32.6764373,-97.246529
GD,Grand Rapids,STD,"5801 Weller Court, Suite A",,Wyoming,MI,49509,42.8589029,-85.70161829999999
GR,Greensboro,STD,4500 Green Point Drive,,Greensboro,NC,27410,36.0632004,-79.9529195
HA,Harrisburg,STD,1351 Eisenhower Blvd,,Harrisburg,PA,17111,40.2257648,-76.7970149
HF,Hartford,STD,"712 Brook Street, Bldg B, Suite 1",,Rocky Hill,CT,6067,41.6411047,-72.67138179999999
HI,Hawaii,STD,3015 Koapaka St.,Suite C,Honolulu,HI,96819,21.3343626,-157.9085091
HK,Hackensack,STD,100 Hollister Rd.,,Teterboro,NJ,7608,40.86246149999999,-74.0558913
HO,North Houston,STD,335 Pennbright Drive,,Houston,TX,77090,29.9920288,-95.42869060000001
HU,Houston,STD,"7425 Pinemont Business Center, Ste 100",,Houston,TX,77040,29.8409709,-95.5020558
HX,Halifax,STD,"90 Raddall  Avenue, Unit # 5",,Dartmouth,NS,B3B 1T2,44.7020533,-63.5873865
ID,Indianapolis,STD,3160 North Shadeland Ave,,Indianapolis,IN,46226,39.8143654,-86.04656709999999
IS,Islip,STD,1590 Locust Ave,,Bohemia,NY,11716,40.78232879999999,-73.117724
JK,Jackson,STD,"197 Interstate Drive, Ste G, Bldg B",,Richland,MS,39218,32.2527941,-90.1583497
JX,Jacksonville,STD,"9454 Philips Hwy, Ste 4",,Jacksonville,FL,32256,30.19171399999999,-81.5664123
KX,Knoxville,EXP,536 Milwaukee Way,,Knoxville,TN,37932,35.9107608,-84.1463374
LB,Long Beach,STD,1709 Mahalo Place,,Rancho Dominguez,CA,90220,33.87156179999999,-118.2468437
LD,San Leandro,STD,20980 Cabot Blvd.,,Hayward,CA,94545,37.6505239,-122.1370811
LE,Lenexa,STD,8055 Flint Street,,Lenexa,KS,66214,38.9820853,-94.71607259999999
LS,Louisville,STD,3908 Produce Road,,Louisville,KY,40218,38.1804264,-85.6866873
LT,Lantana,STD,"3020 Highridge Rd., Ste. 500",,Boynton Beach,FL,33426,26.555268,-80.074502
LV,Las Vegas,STD,5818 West Spring Mountain Rd. Ste 207-211,,Las Vegas,NV,89146,36.1265015,-115.2211346
M3,Montreal,STD,3170 Louis A Amos,,Lachine,QC,H8T 3J2,45.463293,-73.7057888
MA,Manhattan,STD,253 West 28th Street,,"New York,",NY,10001,40.7483531,-73.9955377
MB,Melbourne,STD,"748 North Drive, Suite C",,Melbourne,FL,32934,28.1181838,-80.6908335
MC,Memphis,STD,1801 Shelby Oaks Dr. North  Suite 16,,Memphis,TN,38134,35.1744231,-89.8567592
ML,Milwaukee,STD,"13100 West Lisbon Rd, Suite 300",,Brookfield,WI,53005,43.095951,-88.075164
MN,Minneapolis,STD,1701 W 94th Street,Suite# 125,"Bloomington,",MN,55431,44.83262879999999,-93.3019393
MO,Mobile,STD,933 Lakeside Drive,,Mobile,AL,36693,30.6493282,-88.1297179
MS,Miami South,STD,"8491 NW 17th Street, Ste 105",,Doral,FL,33126,25.790724,-80.3339874
ND,North Detroit,STD,24749 Forterra Drive,,Warren,MI,48089,42.4768103,-82.9929949
NH,North Hollywood,STD,"7247 Hayvenhurst Ave, Unit A-5",,Van Nuys,CA,91406,34.2021892,-118.4932193
NO,New Orleans,STD,2747 Edenborn Ave.,,Metairie,LA,70002,30.0020907,-90.1616785
NS,North Seattle,STD,"22122 30th Drive SE, Suite 130",130,Bothell,WA,98021,47.7977259,-122.1954263
NV,Nashville,STD,801 Airpark Center Drive,,Nashville,TN,37217,36.0956087,-86.68180369999999
O1,Ottawa,STD,1280-1290 Old Innes Road,,Ottawa,ON,K1B 5M7,45.4104192,-75.6157741
OH,Omaha,EXP,12112 Centennial Rd,,La Vista,NE,68128,41.1709749,-96.1020984
OK,Oklahoma,STD,3801 South Moulton Drive,,Oklahoma City,OK,73179,35.4259155,-97.6159543
OL,Orlando,STD,811 S. Orlando Ave Suite A,,Winter Park,FL,32789,28.6213021,-81.3650187
OR,Orange,STD,1635 N Batavia Street,,Orange,CA,92867,33.8145486,-117.8618676
OZ,Ozone Park,STD,182-03 Horace Harding Expwy,,Fresh Meadows,NY,11365,40.7398978,-73.7920482
PB,Pittsburgh,STD,410 Lindbergh Drive,,Moon Township,PA,15108,40.4991118,-80.2173664
PC,Pennsauken,STD,"1000 Lincoln Drive East, Unit 4",,Marlton,NJ,8053,39.909901,-74.93675
PD,Providence,STD,"487 Jefferson Blvd, Ste 200",,Warwick,RI,2886,41.7343902,-71.4419479
PL,Plymouth,STD,5170 Campus Drive,,Plymouth Meeting,PA,19462,40.1147457,-75.2603616
PN,Pompano,STD,1301 West Copans RD. Ste. B1,,Pompano Beach,FL,33064,26.2613944,-80.1408867
PO,Portland,STD,"25977 Canyon Creek Road, Ste. A",,Wilsonville,OR,97070,45.333383,-122.758235
PX,Phoenix,STD,"3710 East University Drive, Suite 5",,Phoenix,AZ,85034,33.4223882,-112.0006378
QC,Quebec City,STD,"399 rue Jaquard, Ste 105",,Quebec,QB,G1N 4J6,46.7985985,-71.28445020000001
RC,Rochester,STD,50 Methodist Hill Road,,Rochester,NY,14623,43.065475,-77.6458596
RD,Raleigh,STD,"2741 Noblin Rd., Ste 101",,"Raleigh,",NC,27604,35.806539,-78.595749
RM,Richmond,STD,2237-2241 Dabney Rd,,Richmond,VA,23230,37.5820171,-77.4808851
RN,Reno,STD,525 Vista Blvd,,Sparks,NV,89434,39.536648,-119.704433
RS,Riverside,STD,"1737 Atlanta Ave., Ste H1",Suite H1,Riverside,CA,92507,33.9972125,-117.3448906
SA,San Antonio,STD,853 Isom Road,,San Antonio,TX,78216,29.5341067,-98.48741749999999
SB,Scarborough,STD,150 McLevin Ave,,Scarborough,ON,M1B 4Z7,43.8043348,-79.23330829999999
SC,Santa Clara,STD,487 Mathew Street,,Santa Clara,CA,95050,37.3638126,-121.9408671
SD,San Diego,STD,"9610 Ridgehaven Court, Unit B",Unit B,San Diego,CA,92123,32.821235,-117.1218334
SE,Seattle,STD,7617 S. 180th Street,,Kent,WA,98032,47.4402498,-122.2375535
SF,Southfield,STD,47247 Cartier Dr.,,Wixom,MI,48393,42.5171882,-83.5151834
SJ,San Juan,STD,500 Calle C Apt 300,,Guaynabo,PR,968,18.3714851,-66.1126878
SK,Spokane,STD,2680 E Ferry Avenue,,Spokane,WA,99202,47.6605254,-117.3709454
SL,Salt Lake,STD,"466 West Lawndale Drive, Unit H",Unit H,Salt Lake City,UT,84115,40.7136169,-111.9017738
SM,Sacramento,STD,709 W Del Paso Rd,,Sacramento,CA,95834,38.6561821,-121.4773512
SO,St. Louis,STD,2238 Ball Drive,,St Louis,MO,63146,38.701792,-90.42009999999999
SP,South Plainfield,STD,"107 Corporate Blvd., Suites E & F",,S. Plainfield,NJ,7080,40.549452,-74.4207514
SY,Plainview,STD,101 Fairchild Ave,Suite 4,Plainview,NY,11803,40.7963107,-73.4638037
T1,Toronto,STD,20 Meteor Drive,,Toronto,ON,M9W 1A4,43.681659,-79.5911895
TP,Tampa,STD,"6802 Lakeview Center Drive,   Suite 200/250B",,Tampa,FL,33619,27.9798994,-82.380573
TS,Tulsa,STD,4731 S. Memorial Drive,,Tulsa,OK,74145,36.0955803,-95.8846576
TU,Tucson,EXP,1200 E Ajo Way,,Tucson,AZ,85713,32.1774727,-110.9529541
TV,Toms River,STD,224 Route 37 East,,Toms River,NJ,8753,39.9431298,-74.0890568
VB,Virginia Beach,STD,5301 Cleveland Street,,Virginia Beach,VA,23462,36.8422436,-76.164154
V1,Burnaby,STD,3144 Thunderbird Crescent,,Burnaby,BC,V5A 3G4,49.2553275,-122.9187979
WB,Woburn,STD,78 D Olympia Ave,,Woburn,MA,1801,42.4984141,-71.1383531
WP,Winnipeg,STD,1377 Border Street,,Winnipeg,MB,R3H 0N1,49.9149617,-97.2004564
